# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 1 7185 8908
41 1 7577 8786
42 1 7809 8670
43 1 9312 8546
44 1 9602 8434
45 1 10768 8301
46 1 11941 8165
47 1 14857 8056
48 1 15362 7944
49 1 16070 7841
50 1 16393 7733
51 2 16746 7638
52 2 16963 7549
53 2 17375 7463
54 3 17836 7366
55 3 18521 7277
56 3 19575 7186
57 3 20163 7091
58 3 21065 7013
59 3 21648 6926
60 3 22403 6836
61 3 23208 6752
62 3 24043 6675
63 3 24979 6589
64 3 25800 6522
65 3 26295 6449
66 3 26846 6371
67 3 27240 6298
68 3 27907 6231
69 3 28275 6158
70 3 28981 6078
71 3 29370 6000
72 3 30281 5944
73 3 30499 5870
74 3 30874 5803
75 3 31548 5739
76 3 31857 5692
77 3 32149 5636
78 3 32311 5589
79 3 32615 5525
80 3 33297 5468
81 3 33591 5424
82 3 33870 5372
83 3 34155 5318
84 3 34293 5267
85 3 34514 5206
86 3 34881 5138
87 3 35237 5086
88 3 35657 5032
89 3 35922 4980
90 3 36553 4927
91 3 36977 4887
92 3 37143 4835
93 3 37767 4785
94 3 38242 4735
95 3 38699 4681
96 3 38890 4635
97 3 39067 4591
98 3 39485 4540
99 3 39822 4494
100 3 40081 4446
101 3 40300 4399
102 3 40632 4353
103 3 40861 4315
104 3 41137 4270
105 3 41286 4231
106 3 41464 4187
107 3 41717 4145
108 3 41958 4100
109 3 42020 4074
110 3 42302 4040
111 3 42596 4012
112 3 42773 3982
113 3 43087 3951
114 3 43298 3913
115 3 43521 3882
116 3 43722 3841
117 3 43851 3809
118 3 44405 3771
119 3 44519 3746
120 3 44918 3713
121 3 45003 3692
122 3 45106 3669
123 3 45219 3648
124 3 45309 3622
125 3 45598 3578
126 3 45704 3552
127 3 45872 3526
128 3 46148 3498
129 3 46249 3476
130 3 46462 3439
131 3 46635 3416
132 3 46743 3395
133 3 46860 3369
134 3 46932 3349
135 3 47031 3322
136 3 47156 3299
137 3 47346 3273
138 3 47556 3245
139 3 47637 3225
140 3 47762 3200
141 3 47888 3185
142 3 47980 3164
143 3 48086 3141
144 3 48180 3124
145 3 48266 3107
146 3 48386 3091
147 3 48445 3072
148 3 48553 3055
149 3 48653 3034
150 3 48816 3010
151 3 48895 2995
152 3 49020 2978
153 3 49088 2958
154 3 49176 2936
155 3 49252 2926
156 3 49319 2911
157 3 49398 2898
158 3 49495 2879
159 3 49614 2857
160 3 49755 2829
161 3 49819 2814
162 3 49865 2803
163 3 49966 2784
164 3 50046 2762
165 3 50155 2734
166 3 50221 2717
167 3 50324 2698
168 3 50387 2682
169 3 50438 2661
170 3 50544 2641
171 3 50617 2621
172 3 50699 2599
173 3 50798 2580
174 3 50904 2559
175 3 51041 2538
176 3 51104 2526
177 3 51184 2510
178 3 51254 2490
179 3 51309 2480
180 3 51372 2470
181 3 51526 2456
182 3 51578 2447
183 3 51742 2433
184 3 51789 2424
185 3 51844 2406
186 3 51947 2392
187 3 52076 2374
188 3 52156 2361
189 3 52227 2347
190 3 52316 2334
191 3 52352 2324
192 3 52415 2317
193 3 52495 2303
