crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	4	effective
9	Tetra-S	1	ineffective
14	Tetra-S	4	effective
19	Tetra-S	4	effective
24	Tetra-S	2	bridging
29	Tetra-S	4	effective
34	Tetra-S	4	effective
39	Tetra-S	4	effective
59	Tetra-S	3	effective
64	Tetra-S	2	bridging
69	Tetra-S	4	effective
74	Tetra-S	3	effective
79	Tetra-S	2	bridging
84	Tetra-S	4	effective
89	Tetra-S	3	effective
99	Tetra-S	4	effective
104	Tetra-S	4	effective
114	Tetra-S	3	effective
119	Tetra-S	4	effective
124	Tetra-S	4	effective
134	Tetra-S	4	effective
139	Tetra-S	4	effective
144	Tetra-S	4	effective
149	Tetra-S	4	effective
154	Tetra-S	3	effective
159	Tetra-S	4	effective
164	Tetra-S	3	effective
169	Tetra-S	3	effective
174	Tetra-S	4	effective
179	Tetra-S	4	effective
184	Tetra-S	3	effective
189	Tetra-S	4	effective
194	Tetra-S	4	effective
199	Tetra-S	3	effective
209	Tetra-S	4	effective
214	Tetra-S	4	effective
219	Tetra-S	4	effective
224	Tetra-S	4	effective
229	Tetra-S	4	effective
234	Tetra-S	4	effective
244	Tetra-S	4	effective
249	Tetra-S	4	effective
254	Tetra-S	4	effective
264	Tetra-S	4	effective
269	Tetra-S	4	effective
284	Tetra-S	4	effective
289	Tetra-S	2	bridging
294	Tetra-S	4	effective
304	Tetra-S	3	effective
309	Tetra-S	4	effective
314	Tetra-S	3	effective
319	Tetra-S	4	effective
324	Tetra-S	2	bridging
334	Tetra-S	2	bridging
339	Tetra-S	4	effective
344	Tetra-S	4	effective
349	Tetra-S	4	effective
354	Tetra-S	3	effective
359	Tetra-S	3	effective
364	Tetra-S	4	effective
369	Tetra-S	3	effective
374	Tetra-S	4	effective
379	Tetra-S	4	effective
384	Tetra-S	2	bridging
389	Tetra-S	4	effective
394	Tetra-S	3	effective
399	Tetra-S	4	effective
404	Tetra-S	2	bridging
409	Tetra-S	4	effective
414	Tetra-S	0	ineffective
419	Tetra-S	4	effective
424	Tetra-S	4	effective
429	Tetra-S	4	effective
434	Tetra-S	2	bridging
439	Tetra-S	4	effective
444	Tetra-S	4	effective
449	Tetra-S	4	effective
454	Tetra-S	4	effective
459	Tetra-S	3	effective
464	Tetra-S	3	effective
469	Tetra-S	4	effective
484	Tetra-S	4	effective
489	Tetra-S	4	effective
494	Tetra-S	4	effective
499	Tetra-S	4	effective
509	Tetra-S	3	effective
514	Tetra-S	4	effective
519	Tetra-S	2	bridging
524	Tetra-S	4	effective
529	Tetra-S	3	effective
534	Tetra-S	4	effective
539	Tetra-S	4	effective
544	Tetra-S	4	effective
549	Tetra-S	4	effective
554	Tetra-S	4	effective
559	Tetra-S	3	effective
564	Tetra-S	4	effective
574	Tetra-S	3	effective
579	Tetra-S	3	effective
584	Tetra-S	3	effective
589	Tetra-S	4	effective
599	Tetra-S	3	effective
604	Tetra-S	4	effective
609	Tetra-S	3	effective
614	Tetra-S	2	bridging
619	Tetra-S	4	effective
624	Tetra-S	3	effective
629	Tetra-S	4	effective
634	Tetra-S	4	effective
639	Tetra-S	4	effective
644	Tetra-S	4	effective
649	Tetra-S	4	effective
654	Tetra-S	4	effective
659	Tetra-S	2	bridging
664	Tetra-S	4	effective
669	Tetra-S	3	effective
679	Tetra-S	4	effective
684	Tetra-S	4	effective
689	Tetra-S	4	effective
699	Tetra-S	4	effective
704	Tetra-S	2	bridging
709	Tetra-S	4	effective
714	Tetra-S	4	effective
719	Tetra-S	4	effective
724	Tetra-S	4	effective
729	Tetra-S	1	ineffective
734	Tetra-S	4	effective
739	Tetra-S	2	bridging
749	Tetra-S	3	effective
754	Tetra-S	3	effective
759	Tetra-S	2	bridging
764	Tetra-S	4	effective
774	Tetra-S	4	effective
779	Tetra-S	3	effective
784	Tetra-S	4	effective
789	Tetra-S	4	effective
794	Tetra-S	4	effective
804	Tetra-S	4	effective
809	Tetra-S	3	effective
814	Tetra-S	4	effective
819	Tetra-S	3	effective
824	Tetra-S	4	effective
829	Tetra-S	4	effective
839	Tetra-S	4	effective
844	Tetra-S	4	effective
849	Tetra-S	3	effective
854	Tetra-S	2	bridging
859	Tetra-S	3	effective
869	Tetra-S	3	effective
874	Tetra-S	4	effective
879	Tetra-S	4	effective
884	Tetra-S	4	effective
889	Tetra-S	2	bridging
894	Tetra-S	4	effective
899	Tetra-S	3	effective
904	Tetra-S	4	effective
909	Tetra-S	2	bridging
914	Tetra-S	4	effective
919	Tetra-S	3	effective
924	Tetra-S	4	effective
929	Tetra-S	4	effective
939	Tetra-S	3	effective
944	Tetra-S	2	bridging
954	Tetra-S	4	effective
959	Tetra-S	4	effective
964	Tetra-S	4	effective
969	Tetra-S	4	effective
974	Tetra-S	2	bridging
979	Tetra-S	2	bridging
989	Tetra-S	4	effective
994	Tetra-S	2	bridging
999	Tetra-S	3	effective
1004	Tetra-S	4	effective
1009	Tetra-S	2	bridging
1014	Tetra-S	4	effective
1019	Tetra-S	3	effective
1024	Tetra-S	2	bridging
1034	Tetra-S	4	effective
1039	Tetra-S	2	bridging
1044	Tetra-S	3	effective
1049	Tetra-S	2	bridging
1054	Tetra-S	2	bridging
1059	Tetra-S	4	effective
1064	Tetra-S	4	effective
1069	Tetra-S	3	effective
1074	Tetra-S	4	effective
1079	Tetra-S	4	effective
1089	Tetra-S	4	effective
1099	Tetra-S	4	effective
1104	Tetra-S	4	effective
1109	Tetra-S	3	effective
1114	Tetra-S	2	bridging
1124	Tetra-S	4	effective
1129	Tetra-S	4	effective
1134	Tetra-S	2	bridging
1139	Tetra-S	2	bridging
1149	Tetra-S	3	effective
1154	Tetra-S	4	effective
1159	Tetra-S	4	effective
1164	Tetra-S	4	effective
1169	Tetra-S	4	effective
1174	Tetra-S	4	effective
1179	Tetra-S	4	effective
1184	Tetra-S	4	effective
1189	Tetra-S	3	effective
1194	Tetra-S	3	effective
1199	Tetra-S	3	effective
1214	Tetra-S	4	effective
1219	Tetra-S	4	effective
1224	Tetra-S	4	effective
1229	Tetra-S	2	bridging
1234	Tetra-S	4	effective
1239	Tetra-S	4	effective
1244	Tetra-S	3	effective
1249	Tetra-S	2	bridging
1254	Tetra-S	4	effective
1259	Tetra-S	4	effective
1264	Tetra-S	4	effective
1269	Tetra-S	3	effective
1274	Tetra-S	4	effective
1279	Tetra-S	3	effective
1284	Tetra-S	2	bridging
1294	Tetra-S	4	effective
1299	Tetra-S	4	effective
1304	Tetra-S	3	effective
1314	Tetra-S	4	effective
1319	Tetra-S	3	effective
1334	Tetra-S	4	effective
1344	Tetra-S	2	bridging
