# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 0 0 0
46 0 0 0
47 0 0 0
48 0 0 0
49 0 0 0
50 0 0 0
51 1 15468 8647
52 1 16317 8543
53 1 18065 8458
54 2 18722 8366
55 2 19284 8273
56 2 19598 8167
57 2 20017 8079
58 3 20531 7988
59 3 20904 7907
60 3 21391 7822
61 3 22094 7734
62 3 22394 7633
63 3 22989 7538
64 3 23502 7463
65 3 24382 7388
66 3 24777 7303
67 3 25582 7228
68 3 26577 7139
69 3 27090 7082
70 3 27519 7003
71 3 27970 6934
72 3 28240 6862
73 3 28454 6812
74 3 29360 6742
75 3 29704 6670
76 3 29976 6596
77 3 30820 6514
78 3 30935 6453
79 3 31165 6383
80 3 31472 6314
81 3 31823 6239
82 3 32116 6177
83 3 32630 6101
84 3 32883 6042
85 3 33175 5983
86 3 33480 5926
87 3 33680 5861
88 3 34131 5804
89 3 34488 5746
90 3 34721 5693
91 3 34854 5650
92 3 35035 5607
93 3 35559 5565
94 3 35765 5514
95 3 35992 5474
96 3 36202 5422
97 3 36442 5371
98 3 36773 5323
99 3 37112 5278
100 3 37516 5230
101 3 37679 5180
102 3 37907 5130
103 3 38328 5080
104 3 38569 5040
105 3 38784 4996
106 3 39050 4956
107 3 39174 4919
108 3 39629 4874
109 3 39816 4842
110 3 40010 4800
111 3 40273 4751
112 3 40404 4712
113 3 40606 4671
114 3 40775 4634
115 3 40935 4596
116 3 41212 4553
117 3 41294 4524
118 3 41457 4481
119 3 41688 4445
120 3 41985 4405
121 3 42224 4369
122 3 42345 4337
123 3 42517 4298
124 3 42634 4264
125 3 43152 4228
126 3 43587 4186
127 3 43853 4154
128 3 43988 4128
129 3 44182 4104
130 3 44375 4074
131 3 44498 4045
132 3 44624 4017
133 3 44732 3988
134 3 44843 3970
135 3 44947 3949
136 3 45049 3925
137 3 45195 3909
138 3 45311 3884
139 3 45446 3862
140 3 45677 3833
141 3 45857 3805
142 3 46014 3771
143 3 46077 3753
144 3 46207 3723
145 3 46331 3699
146 3 46472 3663
147 3 46675 3638
148 3 46829 3616
149 3 46985 3594
150 3 47102 3569
151 3 47240 3542
152 3 47312 3524
153 3 47443 3503
154 3 47589 3479
155 3 47764 3455
156 3 47808 3438
157 3 47838 3426
158 3 47906 3415
159 3 48006 3394
160 3 48068 3379
161 3 48140 3363
162 3 48268 3341
163 3 48348 3325
164 3 48413 3309
165 3 48647 3295
166 3 48693 3281
167 3 48736 3263
168 3 48791 3250
169 3 48867 3233
170 3 48989 3209
171 3 49055 3193
172 3 49246 3168
173 3 49290 3151
174 3 49314 3139
175 3 49355 3130
176 3 49403 3113
177 3 49483 3091
178 3 49518 3080
179 3 49632 3070
180 3 49754 3052
181 3 49771 3044
182 3 49899 3023
183 3 50012 3009
184 3 50102 2994
185 3 50245 2978
186 3 50288 2969
187 3 50381 2953
188 3 50406 2944
189 3 50447 2934
190 3 50505 2921
191 3 50550 2905
192 3 50582 2894
193 3 50614 2887
194 3 50711 2871
195 3 50733 2866
