# frame percolation_dimension largest_cluster num_molecules
0 0 0 0
1 0 0 0
2 0 0 0
3 0 0 0
4 0 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0
37 0 0 0
38 0 0 0
39 0 0 0
40 0 0 0
41 0 0 0
42 0 0 0
43 0 0 0
44 0 0 0
45 1 4961 7538
46 1 5070 7441
47 2 12695 7327
48 2 13234 7226
49 2 16105 7121
50 2 16391 7022
51 3 17476 6922
52 3 17931 6818
53 3 19452 6731
54 3 20360 6645
55 3 21023 6549
56 3 21437 6468
57 3 21918 6382
58 3 22338 6297
59 3 22749 6220
60 3 23650 6146
61 3 24628 6067
62 3 25876 6000
63 3 26684 5917
64 3 27135 5851
65 3 27844 5782
66 3 28443 5710
67 3 29008 5621
68 3 29225 5556
69 3 30371 5473
70 3 30834 5402
71 3 31275 5324
72 3 31852 5257
73 3 32226 5187
74 3 33861 5114
75 3 34167 5053
76 3 34484 4998
77 3 35286 4941
78 3 35800 4866
79 3 36526 4805
80 3 37034 4737
81 3 37357 4682
82 3 37753 4614
83 3 38297 4547
84 3 38613 4481
85 3 38935 4419
86 3 39252 4365
87 3 39491 4314
88 3 39879 4265
89 3 40160 4216
90 3 40438 4158
91 3 40732 4113
92 3 40891 4066
93 3 41104 4020
94 3 41332 3979
95 3 41533 3933
96 3 41711 3896
97 3 41987 3863
98 3 42134 3823
99 3 42406 3785
100 3 42958 3744
101 3 43089 3701
102 3 43287 3671
103 3 43474 3638
104 3 43611 3600
105 3 43873 3561
106 3 44125 3529
107 3 44404 3490
108 3 44565 3462
109 3 44892 3418
110 3 45069 3385
111 3 45295 3351
112 3 45546 3323
113 3 45688 3290
114 3 45820 3267
115 3 45925 3229
116 3 46031 3204
117 3 46304 3179
118 3 46500 3154
119 3 46667 3122
120 3 46747 3094
121 3 46858 3068
122 3 47059 3040
123 3 47212 3021
124 3 47326 2990
125 3 47474 2960
126 3 47689 2937
127 3 47818 2912
128 3 47899 2896
129 3 48035 2874
130 3 48230 2848
131 3 48487 2814
132 3 48561 2801
133 3 48681 2783
134 3 48738 2771
135 3 48804 2755
136 3 48921 2740
137 3 49056 2726
138 3 49113 2711
139 3 49302 2696
140 3 49447 2681
141 3 49513 2664
142 3 49676 2642
143 3 49753 2620
144 3 49827 2606
145 3 49947 2578
146 3 50233 2551
147 3 50371 2529
148 3 50430 2509
149 3 50684 2495
150 3 50750 2478
151 3 50837 2467
152 3 50945 2452
153 3 50999 2436
154 3 51121 2414
155 3 51193 2401
156 3 51238 2388
157 3 51278 2378
158 3 51355 2366
159 3 51416 2353
160 3 51486 2343
161 3 51550 2332
162 3 51676 2315
163 3 51732 2302
164 3 51784 2288
165 3 51869 2271
166 3 51960 2256
167 3 52031 2239
168 3 52049 2235
169 3 52137 2224
170 3 52261 2207
171 3 52370 2193
172 3 52417 2179
173 3 52529 2158
174 3 52658 2143
175 3 52724 2131
176 3 52778 2120
177 3 52847 2110
178 3 52912 2098
179 3 53019 2085
180 3 53182 2077
181 3 53209 2070
182 3 53239 2064
183 3 53265 2056
184 3 53286 2049
185 3 53320 2040
186 3 53376 2029
187 3 53423 2023
188 3 53496 2012
189 3 53552 1999
190 3 53647 1983
191 3 53699 1974
192 3 53736 1965
193 3 53777 1958
194 3 53804 1951
