frame thiol_conversion ene_conversion
0 0.005025883298989786 0.0025066426028976796
1 0.008795295773232126 0.01022710181982256
2 0.013067296577373488 0.01428786283651673
3 0.01708800321656534 0.01844888955732693
4 0.02120922752173693 0.02230911916578937
5 0.024727345831029757 0.026018950218077874
6 0.02889882896919138 0.02992931267859833
7 0.033070312107352895 0.034140472251466436
8 0.03633713625169621 0.038000701859928765
9 0.040156807558928476 0.04161026720810146
10 0.04432829069708999 0.04587155963302747
11 0.0482484796703021 0.049581390685316085
12 0.052068150977534255 0.053341354589662604
13 0.05568678695280693 0.05690078708577728
14 0.058551540433231186 0.06005915676542839
15 0.06201939990953409 0.0632676592971374
16 0.06583907121676635 0.06727828746177367
17 0.06925667186007944 0.07023612573319293
18 0.07362919033020054 0.07469794956635079
19 0.07694627330753379 0.07855817917481323
20 0.08091672111373571 0.08206747881887
21 0.0838819922601397 0.08507544994234717
22 0.08659596924159418 0.0878327568055347
23 0.09046589938181637 0.09154258785782321
24 0.09368246469316988 0.09510202035393789
25 0.09735135950143237 0.09861131999799466
26 0.10152284263959388 0.1024715496064571
27 0.1052419962808464 0.10588058354639795
28 0.10840830275920998 0.10933975033839671
29 0.11308237422727041 0.11370130846743876
30 0.11609790420666433 0.11751140522384318
31 0.11921395185203798 0.12041911064320454
32 0.12192792883349246 0.12317641750639197
33 0.1251947529778359 0.1264851857422169
34 0.12941649494898733 0.13049581390685316
35 0.13273357792632057 0.13345365217827243
36 0.13589988440468415 0.13716348323056093
37 0.13951852037995682 0.14032185291021204
38 0.14288586219028 0.14408181681455856
39 0.1457003568377142 0.14673885797363007
40 0.14871588681710812 0.14979696194916525
41 0.15137960496557268 0.15240387025617885
42 0.154194099613007 0.15516117711936628
43 0.1572096295924008 0.15852007820724923
44 0.16007438307282507 0.16112698651426283
45 0.1626878423882997 0.1640848247856821
46 0.1659044076996532 0.1666917330926957
47 0.16907071417801678 0.16974983706823077
48 0.17128210282957235 0.17210608111495462
49 0.17434789164195608 0.17501378653431598
50 0.17751419812031966 0.178222289066025
51 0.18042921043373372 0.18153105730184993
52 0.18304266974920846 0.18413796560886353
53 0.18615871739458212 0.1870958038802828
54 0.1882193295471679 0.1892013836667168
55 0.19128511835955164 0.19225948764225198
56 0.19455194250389507 0.19531759161778717
57 0.19801980198019797 0.19877675840978593
58 0.20068352012866264 0.20148393242091545
59 0.20264361461526859 0.20363964505940746
60 0.20530733276373325 0.2059958891061312
61 0.20777001558023822 0.2086027974131448
62 0.21063476906066236 0.21166090138868
63 0.21420314620294512 0.21501980247656294
64 0.2171181585163593 0.21787737504386628
65 0.22093782982359145 0.22103574472351728
66 0.22284766547720758 0.22349225447435705
67 0.2254108659596924 0.2258484985210809
68 0.22822536060712673 0.22855567253221032
69 0.23063778459064177 0.23146337795157168
70 0.2332512439061165 0.23437108337093293
71 0.235965220887571 0.23662706171354086
72 0.2385284213700558 0.23908357146438064
73 0.24144343368346988 0.24194114403168399
74 0.24390611649997485 0.2446483180428135
75 0.24626828165050008 0.24710482779365317
76 0.24858018796803538 0.24971173610066677
77 0.25199778861134847 0.25226851155562235
78 0.25466150675981303 0.2550759512708678
79 0.25697341307734833 0.25738206246553363
80 0.2596873900588028 0.2601895021807791
81 0.26255214353922707 0.2627964104877927
82 0.26481379102377245 0.26525292023863234
83 0.26712569734130776 0.26745876572918237
84 0.2701914861536915 0.2703163382964857
85 0.27305623963411574 0.27362510653231065
86 0.27556918128361063 0.27638241339549807
87 0.27833341709805504 0.278588258886048
88 0.28079609991456 0.2816463628615832
89 0.2830577473991054 0.28360154409184335
90 0.2858219832135498 0.28615831954679904
91 0.28808363069809517 0.2885646964455808
92 0.29009398401769115 0.290519877675841
93 0.2923053726692466 0.2933273173910864
94 0.294567020153792 0.2952824986213466
95 0.29743177363421625 0.2978392740763022
96 0.30044730361361005 0.30074697949566354
97 0.30250791576619596 0.3032536220985612
98 0.3042669749208423 0.30515867047676337
99 0.30667939890435747 0.30771544593171907
100 0.3087902698899332 0.30982102571815306
101 0.31125295270643816 0.3119767383566451
102 0.3134140825250038 0.3141825838471951
103 0.31607780067346836 0.31653882789391885
104 0.3186912599889431 0.31909560334887455
105 0.32090264864049856 0.3215019802476563
106 0.3232648137910238 0.3237078257382062
107 0.32527516711061966 0.3260640697849301
108 0.32758707342815496 0.32791898531107433
109 0.32934613258280143 0.33022509650574017
110 0.3317585565663165 0.3323306762921743
111 0.3342714982158115 0.33438612322655037
112 0.33628185153540735 0.3366922344212162
113 0.33899582851686183 0.33954980698851955
114 0.3410564406694476 0.34160525392289565
115 0.34341860581997286 0.3433599037449241
116 0.34522792380760914 0.345565749235474
117 0.34688646529627587 0.3476211961698501
118 0.3490978539478313 0.34937584599187843
119 0.35166105443031614 0.3517822228906603
120 0.3540232195808414 0.35408833408532614
121 0.3563351258983767 0.3564947109841079
122 0.3580439262200332 0.3579986965458465
123 0.3603055737045786 0.3602045420363964
124 0.362567221189124 0.3627613174913521
125 0.36432628034377046 0.36451596731338043
126 0.36613559833140674 0.3665714142477565
127 0.368497763481932 0.3685767283300747
128 0.3706588933004976 0.37078257382062463
129 0.3731215761170026 0.37308868501529047
130 0.3749811529376288 0.37549506191407234
131 0.37699150625722466 0.3774502431443325
132 0.3789516007438307 0.37935529152253467
133 0.3809116952304368 0.38121020704867903
134 0.3830225662160125 0.3830651225748233
135 0.3852842137005579 0.38542136662154713
136 0.38734482585314367 0.38767734496415496
137 0.3895059556717093 0.38968265904647315
138 0.39141579132532545 0.39168797312879133
139 0.3933256269789416 0.3937434200631674
140 0.3952354626325577 0.3955482027372538
141 0.39734633361813343 0.39735298541134
142 0.39925616927174956 0.3994585651977741
143 0.40106548725938584 0.4010628164636286
144 0.40292506408001205 0.4030179976938888
145 0.4048348997336282 0.4050734446282649
146 0.40679499422023424 0.4067779615982353
147 0.4083027592099312 0.40853261142026365
148 0.41031311252952707 0.41068832405875566
149 0.41212243051716335 0.41224244247255226
